date,VV
2015-03-05,-8.091760080030129
2015-05-28,-7.742817566921172
2016-02-28,-8.933779362198328
2016-07-09,-7.40263313723957
2016-07-21,-8.21207923449811
2016-08-02,-8.600089689858596
2016-08-14,-9.030439800537481
2016-08-26,-8.282388143715758
2016-09-07,-8.507301018764323
2016-09-19,-8.798410081642634
2016-10-01,-7.473329595459587
2016-10-13,-8.408095059234965
2016-10-25,-8.953243155737066
2016-11-06,-8.893381395825545
2016-11-18,-8.990668614028337
2016-11-30,-9.216172015632473
2016-12-12,-8.828565479933243
2016-12-24,-9.29774969174555
2017-01-05,-9.30334269178464
2017-01-17,-9.201490749359719
2017-01-29,-9.368200867672222
2017-02-10,-9.397232734190165
2017-03-06,-9.28752947386292
2017-03-18,-9.061106040918075
2017-03-30,-9.258076899655673
2017-04-11,-9.17446061473866
2017-05-05,-9.371536759064057
2017-05-17,-8.939187629537209
2017-05-29,-9.072310746781568
2017-06-10,-8.741370560393282
2017-06-22,-8.55791210293507
2017-07-04,-8.335707710554438
2017-07-16,-6.698937502037884
2017-07-28,-8.41252916760409
2017-08-09,-8.150035749664223
2017-08-21,-7.515902155350064
2017-09-02,-8.154311486460621
2017-09-14,-8.616652451548456
2017-09-26,-7.691070266213774
2017-10-08,-8.112218882652167
2017-10-20,-8.601457438426152
2017-11-01,-8.903095344417254
2017-11-13,-8.966910124104022
2017-11-25,-8.875520607996982
2017-12-07,-9.193718429114616
2017-12-19,-9.214876369633105
2017-12-31,-9.222541244715204
2018-01-12,-9.050427062943058
2018-01-24,-9.407981991887633
2018-02-05,-9.258955171289548
2018-02-17,-9.26455960937381
2018-03-01,-9.174741422762862
2018-03-13,-9.120227417009776
2018-03-25,-8.741284608617338
2018-04-06,-9.090008835217237
2018-04-18,-9.147073075128768
2018-04-30,-9.057743897095033
2018-05-12,-8.927359870608944
2018-05-24,-8.957867397379877
2018-06-05,-9.180995562609441
2018-06-17,-8.865139037822754
2018-06-29,-7.540645214611258
2018-07-11,-7.895120466568555
2018-07-23,-8.369411741637437
2018-08-04,-8.217219935508632
2018-08-16,-7.057767419128022
2018-08-28,-8.140522258556809
2018-09-09,-8.570948198354573
2018-09-21,-7.58738437064856
2018-10-03,-8.387616948997202
2018-10-27,-8.742976348948755
2018-11-08,-8.758852454715274
2018-11-20,-8.968324887648292
2018-12-02,-9.068946782423087
2018-12-14,-9.095219635248426
2018-12-20,-8.416158689893876
2018-12-26,-8.81229940383319
2019-01-07,-8.957115179267742
2019-01-19,-8.951958221384135
2019-01-31,-8.811492112113559
2019-02-12,-8.969241002574499
2019-02-24,-9.194701884468484
2019-03-08,-8.980489419802069
2019-03-20,-8.997567518571831
2019-04-01,-8.926217002797081
2019-04-13,-8.99638167502864
2019-04-25,-9.035992329403369
2019-05-07,-9.053784734199809
2019-05-19,-8.321066370939926
2019-05-31,-8.80050606896768
2019-06-12,-9.05538243039401
2019-06-24,-8.660120931907842
2019-07-30,-6.82306787433219
2019-08-11,-8.193420659217368
2019-08-23,-7.995108661465904
2019-09-04,-7.719740266899952
2019-09-16,-7.55624545023653
2019-09-28,-7.349279707324826
2019-10-04,-8.0044392702545
2019-10-10,-8.159877514941892
2019-10-16,-8.053144449963844
